City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Clinton,US,88.95,few clouds,42.587,-82.9199,Hampton Inn Detroit/Roseville
2,Puerto Colombia,CO,87.89,overcast clouds,10.9878,-74.9547,Hotel El Emigrante
8,Hami,CN,71.76,scattered clouds,42.8,93.45,Laoyutang Resort
9,Broome,US,86.63,scattered clouds,42.2506,-75.833,Chenango Valley State Park
15,Kapaa,US,75.52,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
16,Vila Franca Do Campo,PT,68.41,overcast clouds,37.7167,-25.4333,Pestana Bahia Praia
17,Porosozero,RU,67.75,overcast clouds,62.7191,32.727,Porosozero
21,Cape Town,ZA,74.1,scattered clouds,-33.9258,18.4232,Southern Sun Waterfront Cape Town
22,Hithadhoo,MV,83.55,broken clouds,-0.6,73.0833,Scoop Guest House
24,Isangel,VU,71.62,overcast clouds,-19.55,169.2667,Tanna Lodge
27,Vaini,TO,75.6,broken clouds,-21.2,-175.2,Keleti Beach Resort
28,Rikitea,PF,76.44,light rain,-23.1203,-134.9692,Pension Maro'i
29,Samarai,PG,77.74,light rain,-10.6167,150.6667,Nuli Sapi
31,Port Elizabeth,ZA,69.1,clear sky,-33.918,25.5701,39 On Nile Guest House
32,Plaeng Yao,TH,89.17,heavy intensity rain,13.5847,101.284,Nongkrok Resort
33,Shimoda,JP,68.16,overcast clouds,34.6667,138.95,Shimoda Tokyu Hotel
34,Ewa Beach,US,75.15,clear sky,21.3156,-158.0072,Uncle Junior Robert
35,Atuona,PF,79.16,broken clouds,-9.8,-139.0333,Villa Enata
37,Hualmay,PE,67.06,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
46,Saint-Philippe,RE,72.99,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
51,East London,ZA,66.47,clear sky,-33.0153,27.9116,Tu Casa
53,Hilo,US,71.28,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
55,Fougamou,GA,82.67,light rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
56,Touros,BR,76.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
57,Cayenne,GF,86.04,broken clouds,4.9333,-52.3333,Hôtel Le Dronmi
59,Honiara,SB,77.14,few clouds,-9.4333,159.95,Heritage Park Hotel
60,Buluang,PH,78.46,overcast clouds,13.3068,123.3425,Enon Beach Resort
61,Port Blair,IN,84.24,overcast clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
63,Katsuura,JP,70.11,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
64,Avarua,CK,68.05,overcast clouds,-21.2078,-159.775,Paradise Inn
66,Namatanai,PG,79.29,light rain,-3.6667,152.4333,Seagulls Inn Namatani
67,Pakokku,MM,86.76,overcast clouds,21.3333,95.1,Royal Palace Motel
69,Labuhan,ID,80.11,broken clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
71,Maceio,BR,83.64,broken clouds,-9.6658,-35.7353,Poutur Pousada
77,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
79,Ustye,RU,72.59,few clouds,59.6304,39.736,Dacha Sofronova
81,Castro,BR,74.88,overcast clouds,-24.7911,-50.0119,CHACARA BAILLY
83,Havre,FR,69.44,scattered clouds,49.5833,0.3333,gite bois jourdain
86,Thompson,CA,68.58,overcast clouds,55.7435,-97.8558,Burntwood Hotel
88,Makakilo City,US,73.72,few clouds,21.3469,-158.0858,Marriott's Ko Olina Beach Club
91,Bandarbeyla,SO,80.82,clear sky,9.4942,50.8122,JABIR HOTEL
92,Sinnamary,GF,77.0,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
94,Russell,US,83.91,broken clouds,32.3502,-85.1999,Macs
95,Belmonte,BR,81.1,scattered clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
100,Jamestown,US,83.3,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
104,Mana,GF,79.56,broken clouds,5.6592,-53.7767,LE SAMANA
105,Ranavav,IN,85.91,clear sky,21.6842,69.7408,Tauren Hotel
106,Salto Del Guaira,PY,77.34,overcast clouds,-24.0625,-54.3069,7 Saltos Resort
109,Nanchong,CN,77.94,overcast clouds,30.7951,106.0847,Marine Una Century Hotel
112,Puerto Ayora,EC,80.56,scattered clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
113,Souillac,MU,73.36,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
114,Deyang,CN,68.16,overcast clouds,31.1302,104.382,Milletholly Resort Hotel
116,Beneditinos,BR,88.93,few clouds,-5.45,-42.3667,Pousada e Churrascaria Cabo Miguel
117,Mahebourg,MU,73.26,few clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
119,Umm Lajj,SA,84.67,clear sky,25.0213,37.2685,Moon light Furnished Units
121,Ribeira Grande,PT,68.4,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
123,San Patricio,US,88.21,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
124,Hanko,FI,69.85,broken clouds,59.8333,22.95,Villa Maija
125,Tura,IN,74.73,scattered clouds,25.5198,90.2201,Hotel RIKMAN Continental
127,Albenga,IT,77.56,overcast clouds,44.0529,8.216,Albergo Marisa Snc dei Fratelli Ancona
128,Tual,ID,81.21,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
131,Inhambane,MZ,68.56,broken clouds,-23.865,35.3833,Oceano
132,Shingu,JP,68.58,overcast clouds,33.7333,135.9833,Shingu UI Hotel
134,Harnosand,SE,71.62,broken clouds,62.6323,17.9379,First Hotel Stadt
136,Camacha,PT,67.42,scattered clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
138,Bengkulu,ID,74.89,few clouds,-3.8004,102.2655,Grage Hotel Bengkulu
139,Les Cayes,HT,87.89,few clouds,18.2,-73.75,Villa Orphee
140,Karratha,AU,75.38,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
141,Pokhara,NP,76.42,broken clouds,28.2333,83.9833,Butterfly Lodge
142,Kieta,PG,78.21,light rain,-6.2167,155.6333,Uruna Bay Retreat
146,Arraial Do Cabo,BR,84.06,clear sky,-22.9661,-42.0278,Pousada Porto Praia
147,Vetluga,RU,68.83,few clouds,57.8557,45.781,Luga
149,Xinzhou,CN,72.27,overcast clouds,38.4092,112.7333,Shell Hotel - Xinzhou
150,Nanma,CN,73.62,light rain,36.1817,118.1583,GreenTree Inn Zibo Wuyuan County Lushan Road Express Hotel
151,Shelburne,CA,86.27,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
152,Bahir Dar,ET,76.59,scattered clouds,11.5936,37.3908,"Delano Hotel, Bahir Dar"
154,Yining,CN,69.94,light rain,29.0361,114.5636,Xiushui Hotel
155,Alofi,NU,75.56,overcast clouds,-19.0595,-169.9187,Taloa Heights
156,Nouadhibou,MR,69.53,scattered clouds,20.931,-17.0347,El Medina
157,Victoria,HK,82.45,few clouds,22.2855,114.1577,Mini Hotel Central
158,Kahului,US,74.84,few clouds,20.8947,-156.47,Maui Seaside Hotel
159,Hurghada,EG,86.74,clear sky,27.2574,33.8129,Sea Star Beau Rivage Hotel
160,Tongren,CN,74.35,light rain,27.7172,109.1853,Fanjing Mountain International Conference Center
161,Fairlie,GB,67.12,clear sky,55.756,-4.8556,Brisbane House Hotel
162,Port Alfred,ZA,65.7,clear sky,-33.5906,26.891,The Halyards Hotel
163,Saurimo,AO,74.25,overcast clouds,-9.6608,20.3916,Hotel Kawissa Saurimo
165,Santa Cruz Cabralia,BR,80.83,scattered clouds,-16.2781,-39.0247,Portobali Hotel
167,Kruisfontein,ZA,66.88,clear sky,-34.0033,24.7314,Oyster Bay House Rental
169,Lorengau,PG,79.41,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
170,Boyolangu,ID,75.7,broken clouds,-8.1181,111.8935,Yos ega cv
174,Hasaki,JP,66.6,overcast clouds,35.7333,140.8333,Hotel Sunrise Choshi
178,Puerto Madero,MX,88.0,scattered clouds,14.7208,-92.4215,Hotel La Central
179,Celestun,MX,88.11,broken clouds,20.8667,-90.4,Posada Lilia
