City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Clinton,US,42.587,-82.9199,88.95,45,20,1.01,few clouds
1,Ostrovnoy,RU,68.0531,39.5131,42.96,66,26,13.29,scattered clouds
2,Puerto Colombia,CO,10.9878,-74.9547,87.89,65,100,4.61,overcast clouds
3,Punta Arenas,CL,-53.15,-70.9167,43.38,71,100,9.33,overcast clouds
4,Nelson Bay,AU,-32.7167,152.15,53.96,87,1,7.2,clear sky
5,New Norfolk,AU,-42.7826,147.0587,51.93,85,100,4.61,overcast clouds
6,Busselton,AU,-33.65,115.3333,51.08,71,28,8.52,scattered clouds
7,Vostok,RU,46.4856,135.8833,44.89,94,97,3.27,overcast clouds
8,Hami,CN,42.8,93.45,71.76,12,28,16.35,scattered clouds
9,Broome,US,42.2506,-75.833,86.63,51,40,3.0,scattered clouds
10,College,US,64.8569,-147.8028,57.15,65,40,4.61,scattered clouds
11,Brae,GB,60.3964,-1.353,53.51,74,35,8.59,scattered clouds
12,Dikson,RU,73.5069,80.5464,30.72,88,100,11.79,overcast clouds
13,Longyearbyen,SJ,78.2186,15.6401,40.84,70,0,10.36,clear sky
14,Luba,GQ,3.4568,8.5547,76.68,86,100,3.24,overcast clouds
15,Kapaa,US,22.0752,-159.319,75.52,82,75,1.01,light rain
16,Vila Franca Do Campo,PT,37.7167,-25.4333,68.41,76,99,5.7,overcast clouds
17,Porosozero,RU,62.7191,32.727,67.75,53,100,8.55,overcast clouds
18,Nanortalik,GL,60.1432,-45.2371,45.37,67,100,13.22,overcast clouds
19,Paamiut,GL,61.994,-49.6678,37.18,98,100,3.33,light rain
20,Qaanaaq,GL,77.484,-69.3632,39.74,84,84,4.65,broken clouds
21,Cape Town,ZA,-33.9258,18.4232,74.1,27,49,11.72,scattered clouds
22,Hithadhoo,MV,-0.6,73.0833,83.55,71,82,11.86,broken clouds
23,Tashtyp,RU,52.7939,89.8983,46.13,94,94,3.76,overcast clouds
24,Isangel,VU,-19.55,169.2667,71.62,68,100,12.68,overcast clouds
25,Ushuaia,AR,-54.8,-68.3,38.86,70,75,5.75,broken clouds
26,Ahipara,NZ,-35.1667,173.1667,60.66,91,100,12.64,light rain
27,Vaini,TO,-21.2,-175.2,75.6,65,69,15.86,broken clouds
28,Rikitea,PF,-23.1203,-134.9692,76.44,82,97,14.7,light rain
29,Samarai,PG,-10.6167,150.6667,77.74,90,100,17.36,light rain
30,Mar Del Plata,AR,-38.0023,-57.5575,57.0,65,30,5.01,scattered clouds
31,Port Elizabeth,ZA,-33.918,25.5701,69.1,30,0,5.66,clear sky
32,Plaeng Yao,TH,13.5847,101.284,89.17,85,100,6.78,heavy intensity rain
33,Shimoda,JP,34.6667,138.95,68.16,92,100,9.17,overcast clouds
34,Ewa Beach,US,21.3156,-158.0072,75.15,76,1,10.0,clear sky
35,Atuona,PF,-9.8,-139.0333,79.16,66,68,11.12,broken clouds
36,Cabo San Lucas,MX,22.8909,-109.9124,97.81,51,43,5.01,scattered clouds
37,Hualmay,PE,-11.0964,-77.6139,67.06,73,77,10.29,broken clouds
38,Nuuk,GL,64.1835,-51.7216,45.21,87,75,13.8,light rain
39,Port Macquarie,AU,-31.4333,152.9167,47.37,70,2,5.86,clear sky
40,Novo Aripuana,BR,-5.1206,-60.3797,93.25,45,16,4.41,few clouds
41,Riyadh,SA,24.6877,46.7219,106.32,6,2,6.6,clear sky
42,Mataura,NZ,-46.1927,168.8643,44.06,86,99,2.08,overcast clouds
43,Chokurdakh,RU,70.6333,147.9167,34.36,90,100,8.01,light rain
44,Albany,US,42.6001,-73.9662,88.92,47,56,1.01,broken clouds
45,Marzuq,YE,14.4,46.4667,89.2,26,6,6.44,clear sky
46,Saint-Philippe,RE,-21.3585,55.7679,72.99,83,73,12.57,light rain
47,Hobart,AU,-42.8794,147.3294,52.27,87,99,1.99,overcast clouds
48,Waipawa,NZ,-41.4122,175.5153,52.43,88,100,1.01,light rain
49,Kyshtovka,RU,56.555,76.6271,60.44,78,6,11.01,clear sky
50,Pevek,RU,69.7008,170.3133,45.93,78,28,11.34,scattered clouds
51,East London,ZA,-33.0153,27.9116,66.47,53,0,12.3,clear sky
52,Bredasdorp,ZA,-34.5322,20.0403,59.29,41,11,6.49,few clouds
53,Hilo,US,19.7297,-155.09,71.28,84,90,3.44,overcast clouds
54,Lebu,CL,-37.6167,-73.65,50.34,70,100,1.34,overcast clouds
55,Fougamou,GA,-1.2154,10.5838,82.67,82,61,0.58,light rain
56,Touros,BR,-5.1989,-35.4608,76.1,68,41,14.97,scattered clouds
57,Cayenne,GF,4.9333,-52.3333,86.04,70,75,6.35,broken clouds
58,Terney,RU,45.0503,136.6092,51.82,92,9,6.87,clear sky
59,Honiara,SB,-9.4333,159.95,77.14,89,12,4.68,few clouds
60,Buluang,PH,13.3068,123.3425,78.46,91,99,2.84,overcast clouds
61,Port Blair,IN,11.6667,92.75,84.24,77,95,13.15,overcast clouds
62,Campbell River,CA,50.0163,-125.2446,52.59,81,100,4.68,overcast clouds
63,Katsuura,JP,35.1333,140.3,70.11,90,100,6.11,overcast clouds
64,Avarua,CK,-21.2078,-159.775,68.05,77,90,3.44,overcast clouds
65,Fortuna,US,40.5982,-124.1573,58.93,70,20,3.0,few clouds
66,Namatanai,PG,-3.6667,152.4333,79.29,84,100,5.68,light rain
67,Pakokku,MM,21.3333,95.1,86.76,55,93,7.61,overcast clouds
68,Magistralnyy,RU,56.1725,107.4458,43.36,92,100,2.19,overcast clouds
69,Labuhan,ID,-6.8844,112.2051,80.11,81,67,4.68,broken clouds
70,Havre-Saint-Pierre,CA,50.2334,-63.5986,50.36,67,11,12.97,few clouds
71,Maceio,BR,-9.6658,-35.7353,83.64,69,75,8.61,broken clouds
72,Barrow,US,71.2906,-156.7887,30.22,93,90,9.22,mist
73,Carnarvon,AU,-24.8667,113.6333,62.67,77,40,9.22,scattered clouds
74,Nome,US,64.5011,-165.4064,35.67,93,90,6.91,light rain
75,Torbay,CA,47.6666,-52.7314,57.38,94,90,16.11,light rain
76,Hermanus,ZA,-34.4187,19.2345,59.81,45,9,7.25,clear sky
77,Georgetown,MY,5.4112,100.3354,82.33,83,20,1.01,few clouds
78,Kodiak,US,57.79,-152.4072,53.11,50,1,19.57,clear sky
79,Ustye,RU,59.6304,39.736,72.59,56,16,4.41,few clouds
80,Tiksi,RU,71.6872,128.8694,42.12,69,85,8.25,overcast clouds
81,Castro,BR,-24.7911,-50.0119,74.88,43,95,6.87,overcast clouds
82,Maldonado,UY,-34.6667,-54.9167,56.59,64,4,7.49,clear sky
83,Havre,FR,49.5833,0.3333,69.44,82,40,6.46,scattered clouds
84,Peterhead,GB,57.5058,-1.7981,56.44,82,88,9.33,overcast clouds
85,Tuktoyaktuk,CA,69.4541,-133.0374,34.27,77,12,6.62,few clouds
86,Thompson,CA,55.7435,-97.8558,68.58,54,100,3.4,overcast clouds
87,Vanavara,RU,60.34,102.2797,36.75,66,1,5.7,clear sky
88,Makakilo City,US,21.3469,-158.0858,73.72,68,20,14.09,few clouds
89,Lompoc,US,34.6391,-120.4579,60.48,83,90,1.99,mist
90,Manuk Mangkaw,PH,4.8,119.85,83.97,71,50,4.9,scattered clouds
91,Bandarbeyla,SO,9.4942,50.8122,80.82,80,4,29.68,clear sky
92,Sinnamary,GF,5.3833,-52.95,77.0,89,82,11.07,broken clouds
93,Vardo,NO,70.3705,31.1107,46.6,61,40,13.8,scattered clouds
94,Russell,US,32.3502,-85.1999,83.91,65,75,1.9,broken clouds
95,Belmonte,BR,-15.8631,-38.8828,81.1,65,36,8.72,scattered clouds
96,Erdenet,MN,49.0333,104.0833,36.63,97,100,7.27,overcast clouds
97,Cherskiy,RU,68.75,161.3,59.2,52,38,12.35,scattered clouds
98,Yellowknife,CA,62.456,-114.3525,45.32,70,100,5.99,overcast clouds
99,Luderitz,NA,-26.6481,15.1594,66.74,42,0,2.04,clear sky
100,Jamestown,US,42.097,-79.2353,83.3,49,1,11.01,clear sky
101,Chuy,UY,-33.6971,-53.4616,58.23,64,100,6.58,overcast clouds
102,Winsum,NL,53.33,6.5208,64.98,88,42,12.53,scattered clouds
103,Bluff,NZ,-46.6,168.3333,46.27,84,63,5.37,broken clouds
104,Mana,GF,5.6592,-53.7767,79.56,86,72,8.88,broken clouds
105,Ranavav,IN,21.6842,69.7408,85.91,67,2,12.62,clear sky
106,Salto Del Guaira,PY,-24.0625,-54.3069,77.34,43,85,2.21,overcast clouds
107,Adrar,MR,20.5022,-10.0711,110.1,8,2,20.45,clear sky
108,Cidreira,BR,-30.1811,-50.2056,64.04,80,100,8.21,overcast clouds
109,Nanchong,CN,30.7951,106.0847,77.94,60,99,2.95,overcast clouds
110,Geraldton,AU,-28.7667,114.6,55.13,87,97,11.23,overcast clouds
111,Saskylakh,RU,71.9167,114.0833,37.18,67,96,6.04,overcast clouds
112,Puerto Ayora,EC,-0.7393,-90.3518,80.56,86,26,7.0,scattered clouds
113,Souillac,MU,-20.5167,57.5167,73.36,83,32,9.8,light rain
114,Deyang,CN,31.1302,104.382,68.16,47,100,1.01,overcast clouds
115,Port Hardy,CA,50.6996,-127.4199,50.18,87,90,12.66,light rain
116,Beneditinos,BR,-5.45,-42.3667,88.93,34,11,4.68,few clouds
117,Mahebourg,MU,-20.4081,57.7,73.26,81,23,9.57,few clouds
118,Aklavik,CA,68.2191,-135.0107,34.52,67,89,6.58,overcast clouds
119,Umm Lajj,SA,25.0213,37.2685,84.67,58,0,13.65,clear sky
120,Scarborough,GB,54.2797,-0.4044,64.83,77,77,1.99,broken clouds
121,Ribeira Grande,PT,38.5167,-28.7,68.4,83,40,13.8,scattered clouds
122,Port Lincoln,AU,-34.7333,135.8667,58.78,60,66,16.13,broken clouds
